name,latitude,longitude,accepted_materials,recycled_products,materials_processed,capacity
1.08 Recyclage,45.855664,5.269179,"ABS, PPCP, PS",Flakes,,"2,500"
Argonne Production,49.188887,4.8801131,"PP, PS, HDPE",Granules/Pellets,,
Atlan s.a.,47.8987525,0.0284322,"PP, PS, PVC",Granules/Pellets,,
Atlantide Environnement,47.1976262,5.8679421,HDPE,Granules/Pellets,,
Atmos Plastics,48.272442,1.6072576,"PA, PS, PC, HDPE, ABS, POM, PBT","Granules/Pellets, Flakes",,
Audice Plastics,50.6544304,2.8932913,"PET, PP, LDPE",Granules/Pellets,,
BM Plastique,45.9295078,4.3887768,"ABS, PC, PE, PP, PS",Flakes,"3,000","4,800"
BPO Recyclage,47.5182398,-1.6491139,"PET, PP, PA, PS, PC, PE, PVC, ABS, POM, PMMA",Granules/Pellets,"8,300",
C2P S.A.S,45.9905694,4.6847593,PP,Flakes,,
Cap Eco Recycling,47.5256179,-1.6433945,"PP, PA, PS, PC, HDPE, LDPE, ABS","Granules/Pellets, Flakes",,
Clot Plastique Industriel,46.2268107,5.4145654,"PE, PP",Flakes,,
CMR Recyclage,43.9154221,5.8851244,Waste Plastic,Granules/Pellets,"10,000",
Corplex Recycling,48.5197982,7.2925142,"PC, PE, PP, PS",Granules/Pellets,"10,000",
CPA Recyclage,46.0459745,5.3435974,"HDPE, PP",Flakes,,
Cyclia,47.2844224,0.8435417,"PET, PP, PA, PS, PC, PE, PVC, ABS, POM, PMMA",Granules/Pellets,,
Dimaplast SARL,50.3403152,3.2742692,"PET, PP, PA, PS, PE, PVC, ABS, PMMA","Granules/Pellets, Flakes",,
Eco 2PR,48.7522194,2.3464534,"PET, PP, PS, HDPE, LDPE, EPS",Flakes,"5,000",
Eco-Logistique Réemploi,48.0429259,3.0705968,HDPE,"Granules/Pellets, Flakes",,
Environnement Massif Central,44.5377301,3.5069903,"PP, HDPE",Granules/Pellets,,
Ereplast,45.8334815,5.3989522,PVC,"Granules/Pellets, Flakes",,"90,000"
